mensagem,stream,data,tipo_toxicidade
chamou de ruim,alanzoka,2026-04-10,INS
quanto mais chato melhor,alanzoka,2026-04-10,INS
"esse jogo é chatinho de assistir, pelo menos pra mim",alanzoka,2026-04-10,INS
"@maethe é que ele é ruim, aí não da graça mesmo",alanzoka,2026-04-10,INS
firewall mt burro,alanzoka,2026-04-10,INS
pense num jogo ruim,alanzoka,2026-04-10,INS
"ele é bom, tu que é ruim mesmo",alanzoka,2026-04-10,INS
"rocket league parece ping pong, por isso eu era ruim (era horrivel no ping pong)",alanzoka,2026-04-10,INS
wtf,alanzoka,2026-04-10,OBS
que coisa idiota,alanzoka,2026-04-10,INS
caralho humilhou o alan,alanzoka,2026-04-10,OBS
@lyipeh Pqp,alanzoka,2026-04-10,OBS
pqp ala,alanzoka,2026-04-10,OBS
fire ta ruim em,alanzoka,2026-04-10,INS
caralho,alanzoka,2026-04-10,OBS
ainda bem q são ruim,alanzoka,2026-04-10,INS
"gente, nao entendi eu ficar silenciada, eu nao falei que o alan era ruim, pelo contrario. Eu so falei que achava esse jogo ruim, eu nao jogo, nao posso???",alanzoka,2026-04-10,INS
"@AnixBr mas ninguem pediu sua opinião, ninguem quer saber se voce acha o jogo ruim, é o que o alan quer jogar e pronto cara, nao tem que ficar falando que é ruim e trazendo essa energia negativa pro chat",alanzoka,2026-04-10,INS
"@Hukizan oushe, mas o proprio alan fala DIRETO que algum jogo é ruim, é MODO de falar. Continuo sem entender eu ter sido silenciada.",alanzoka,2026-04-10,INS
se ta ruim é só sair da live,alanzoka,2026-04-10,INS
@AnixBr Não chamar jogo de ruim,alanzoka,2026-04-10,INS
"@AnixBr só não assistir a live quando jogo que ele estiver jogando você achar ruim, não precisa dar sua opinião aqui no chat",alanzoka,2026-04-10,INS
Ta poha o pau quebrando no chat,alanzoka,2026-04-10,OBS
"@anixbr Simplificando. Guarde tuas opiniões q o jogo é ruim, pra vc. Tem .uita gente aqui q curte e mta q nao curte. Uns gostam de jogo X e outros de jogo y. Ele nao vai agradar a todos qse nunca. Então,  seja educada e nao critique o jogo. Nao gostou? Vai fazer outra coisa e volta depois. Simples.",alanzoka,2026-04-10,INS
"GENTE, que putaria é essa no chat",alanzoka,2026-04-10,OBS
"bizarro, dei allwin esse merda vai ganhar pqp",alanzoka,2026-04-10,OBS
Ainda bem que minha internet tá uma bosta,alanzoka,2026-04-10,OBS
se o cara acha o jogo ruim de boa po,alanzoka,2026-04-10,INS
"@AnixBr Tu pode, mas se chamar jogo de ruim, vai ficar 10min olhando pra parede, nada demais tbm",alanzoka,2026-04-10,INS
@anixbr mas é literalmente ele que tá jogando quem tem que achar ruim ou bom é ele ué,alanzoka,2026-04-10,INS
"@anixbr pensa que é chato vc estar jogando um jogo e aparece alguém falando "" isso é uma bosta "" ngm quer isso",alanzoka,2026-04-10,"INS, OBS"
@Faallcon_ pior que essa ta ez win,alanzoka,2026-04-10,INS
@AnixBr qual seu objetivo em falar que é ruim?,alanzoka,2026-04-10,INS
"@AnixBr É que basicamente o Alan brinca quando fala que o jogo é ruim ou coisa do tipo, não necessariamente ele está falando mal do jogo, e ainda tem o ponto que ele está fazendo live, como dono da live ele pode fazer os comentários que desejar, porém, no chat temos regras e devemos seguir, você tem todo direito de não gostar do jogo, mas caso isso seja de extrema importância, você pode procurar outras coisinhas que te agrade, não é questão de ""ditadura"" como você menciona, é por ter regras",alanzoka,2026-04-10,INS
"@AnixBr Nao é estrelismo não.  Eu entw do perfeitamente eles pq sou moderador de streamer tbm. Entao assim, sendo menos polido: opiniao merda, comentário não construtivo, ofensivo e desnecessário,  tem q ser silenciado.  Mas essa é a minha opinião, espero q entenda e respeite,  pois apesar da tua ser bem ruim, eu respeito.",alanzoka,2026-04-10,"INS, OBS"
@vinixloll tem uma chata reclamando falando que o jogo é ruim e blá blá blá aí ela foi silenciada e acha que isso é “ditadura” só pq ela não pode dar a “opinião” dela,alanzoka,2026-04-10,INS
@Sub0 qq ta rolando? por isso minha net ta tao ruim esses dias?,alanzoka,2026-04-10,INS
"@FunkLee ta dificil sim, o pq moderador se acha o bixao, pra poder silenciar alguem que so falou algo que o proprio stremer fala DIRETO.",alanzoka,2026-04-10,DO
caralhoow,alanzoka,2026-04-10,OBS
carai vai tomando,alanzoka,2026-04-10,OBS
@Faallcon_ Tu é mt otário KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK,alanzoka,2026-04-10,INS
slk hj ta ruim fi,alanzoka,2026-04-10,INS
"@thaizokaa pq a mina falou q o jogo era ruim, e os mods silenciaram, e ela ficou querendo saber o pq e tals",alanzoka,2026-04-10,INS
foi divertido pra carai,alanzoka,2026-04-10,OBS
Nao da pra trocar de moto nao? Essa eh mt ruim pra perseguição,loud_coringa,2026-04-10,INS
