stream,total_mensagens,mensagens_toxicas,taxa_toxicidade_pct,volume_suficiente,ins_count,ass_count,do_count,ame_count,obs_count
seucreysonreborn,5988,442,7.38,True,181,7,4,4,263
zagowt,39322,2174,5.53,True,703,3,158,6,1354
jhowrj1,14086,655,4.65,True,225,4,35,1,407
brtt,3873,166,4.29,True,53,0,12,1,103
zigueira,1178,49,4.16,True,12,0,0,0,37
coreano,30731,1265,4.12,True,372,0,38,4,873
skipnho,41425,1592,3.84,True,432,0,42,2,1147
matteafrodisiaco,10615,407,3.83,True,116,4,44,1,264
burgaofps,13798,479,3.47,True,150,0,5,1,328
sacy,55890,1868,3.34,True,417,0,23,9,1447
davyjones,247,8,3.24,False,4,0,0,0,4
rakin,55495,1750,3.15,True,394,0,43,17,1326
baiano,23889,735,3.08,True,206,0,11,10,521
tck10,106113,3164,2.98,True,740,3,33,14,2417
fnxlntc,2466,73,2.96,True,24,0,1,0,49
nayuchan,103,3,2.91,False,0,0,0,0,3
yoda,1434,40,2.79,True,16,0,1,0,23
frttt,18233,507,2.78,True,185,0,6,5,317
fer,974,26,2.67,False,11,0,0,0,15
gabepeixe,100293,2429,2.42,True,538,0,77,11,1832
luquet4,653,15,2.3,False,6,0,0,0,9
cblol,5662,126,2.23,True,77,0,1,4,45
bagi,6852,148,2.16,True,16,0,1,1,130
snopey,107886,2317,2.15,True,884,6,320,21,1182
alanzoka,87957,1801,2.05,True,375,0,21,5,1412
gaules,1885,34,1.8,True,19,0,0,0,17
loud_coringa,32272,527,1.63,True,138,0,0,2,394
cellbit,216357,3360,1.55,True,657,0,88,52,2583
paulinholokobr,10305,92,0.89,True,35,0,0,5,52
piuzinho,28121,218,0.78,True,87,0,10,7,115
